Item,Inventory,MRP,Sales,Weekly Sale,Success Rate (%),Item_Type
FDB56,262,187.8556,94,328.5723,35.8778626,Fruits and Vegetables
FDT28,257,151.0708,158,451.4124,61.47859922,Frozen Foods
FDD10,286,178.5344,192,713.7376,67.13286713,Snack Foods
FDW57,387,179.1028,161,974.0654,41.60206718,Snack Foods
DRB48,416,38.7822,83,166.94935,19.95192308,Soft Drinks
FDP09,102,212.0902,26,796.46325,25.49019608,Snack Foods
FDH14,329,141.1838,283,561.9352,86.01823708,Canned
FDA47,459,163.121,51,448.58275,11.11111111,Baking Goods
FDG12,266,121.3098,249,632.67645,93.60902256,Baking Goods
DRE60,301,225.372,221,169.779,73.42192691,Soft Drinks
DRK49,237,41.4138,110,203.069,46.41350211,Soft Drinks
FDD03,429,232.53,54,174.7725,12.58741259,Dairy
FDS52,90,102.4016,26,683.1108,28.88888889,Frozen Foods
FDW39,206,176.937,82,44.10925,39.80582524,Meat
FDX34,64,121.7098,23,1024.3333,35.9375,Snack Foods
FDV11,350,173.2054,166,787.9743,47.42857143,Breads
FDD17,114,239.0906,104,1485.56625,91.22807018,Frozen Foods
FDZ16,394,192.4478,141,1210.92375,35.78680203,Frozen Foods
FDZ46,376,109.0228,347,635.5061,92.28723404,Snack Foods
DRA12,58,140.3154,29,638.1693,50,Soft Drinks
FDY58,393,227.0694,385,285.46175,97.96437659,Snack Foods
NCF19,178,47.5034,129,170.1119,72.47191011,Household
DRJ13,185,159.0578,56,521.48785,30.27027027,Soft Drinks
FDB14,112,92.512,18,46.606,16.07142857,Canned
FDJ38,188,190.153,88,759.012,46.80851064,Canned
FDW11,130,62.7194,36,216.7179,27.69230769,Breads
FDL40,441,95.041,280,217.21725,63.49206349,Frozen Foods
DRI49,212,82.4276,28,284.2966,13.20754717,Soft Drinks
FDV38,468,52.7956,355,232.0313,75.85470085,Dairy
DRG23,338,151.7682,35,190.58525,10.35502959,Hard Drinks
NCP30,428,40.2822,226,176.7699,52.80373832,Household
FDY25,310,180.5976,163,1992.0736,52.58064516,Canned
NCH54,280,160.292,163,359.532,58.21428571,Household
NCR53,90,224.4404,55,1744.0631,61.11111111,Health and Hygiene
FDS52,77,101.7016,58,25.3004,75.32467532,Frozen Foods
FDG02,184,188.5188,91,238.0235,49.45652174,Canned
NCO26,250,116.0492,233,492.3591,93.2,Household
FDH35,377,165.4526,190,1315.6208,50.39787798,Starchy Foods
FDB51,317,60.5852,140,328.5723,44.16403785,Dairy
FDX44,467,90.8172,459,133.8258,98.2869379,Fruits and Vegetables
NCN07,82,132.1284,51,65.9142,62.19512195,Others
NCC31,97,154.5972,28,350.5437,28.86597938,Household
NCX54,456,105.1622,282,423.4488,61.84210526,Household
NCO55,111,105.5938,42,535.969,37.83783784,Others
NCC30,265,177.6344,85,669.129,32.0754717,Household
FDI16,342,53.064,186,226.372,54.38596491,Frozen Foods
FDP16,148,246.3802,72,1842.6015,48.64864865,Frozen Foods
FDB11,221,226.8404,140,1575.2828,63.34841629,Starchy Foods
NCB06,409,160.692,372,399.48,90.95354523,Health and Hygiene
FDA45,263,178.237,58,132.32775,22.05323194,Snack Foods
NCO26,84,117.5492,64,492.3591,76.19047619,Household
DRJ25,498,50.3692,163,258.6633,32.73092369,Soft Drinks
FDR28,276,161.521,209,448.58275,75.72463768,Frozen Foods
FDI04,150,197.6426,61,692.0991,40.66666667,Frozen Foods
DRK12,480,31.29,365,224.7075,76.04166667,Soft Drinks
FDX20,180,226.172,126,792.302,70,Fruits and Vegetables
NCI18,306,223.5746,127,897.4984,41.50326797,Household
FDB36,54,132.5626,16,65.5813,29.62962963,Baking Goods
FDN13,267,99.8358,55,477.54505,20.59925094,Breakfast
DRD24,304,140.9154,198,425.4462,65.13157895,Soft Drinks
FDQ28,447,154.5656,319,617.8624,71.36465324,Frozen Foods
FDM22,408,54.764,327,332.9,80.14705882,Snack Foods
FDR07,332,97.0094,138,452.24465,41.56626506,Fruits and Vegetables
FDV25,442,222.5456,58,828.921,13.12217195,Canned
DRF49,256,114.2518,34,654.64785,13.28125,Soft Drinks
FDW51,64,214.556,19,692.432,29.6875,Meat
DRL01,395,233.4958,127,1343.75085,32.15189873,Soft Drinks
FDP25,91,216.8824,89,709.7428,97.8021978,Canned
FDL50,429,125.0046,153,435.7661,35.66433566,Canned
NCB30,228,198.8084,195,1388.8588,85.52631579,Household
FDW11,112,61.9194,81,154.7985,72.32142857,Breads
NCM43,401,164.821,166,530.14325,41.39650873,Others
FDK44,280,173.0738,143,955.7559,51.07142857,Fruits and Vegetables
FDM15,290,151.4366,157,340.05735,54.13793103,Meat
FDS31,101,178.8318,89,992.3749,88.11881188,Fruits and Vegetables
FDI32,145,115.1834,80,86.38755,55.17241379,Fruits and Vegetables
FDR47,437,196.5794,242,146.30955,55.37757437,Breads
FDB35,271,92.6804,163,252.6711,60.14760148,Starchy Foods
NCU05,456,81.4618,99,40.2809,21.71052632,Health and Hygiene
DRY23,280,42.1112,208,10.6528,74.28571429,Soft Drinks
FDO24,286,157.4604,170,752.6869,59.44055944,Baking Goods
FDQ28,192,153.0656,35,1506.0396,18.22916667,Frozen Foods
FDV39,220,198.1426,130,247.17825,59.09090909,Meat
NCO17,78,117.944,54,59.922,69.23076923,Health and Hygiene
FDU50,85,112.8176,72,343.5528,84.70588235,Dairy
FDT12,62,226.8062,12,1184.95755,19.35483871,Baking Goods
FDK58,209,100.0016,189,253.004,90.43062201,Snack Foods
FDO08,376,165.7526,77,164.4526,20.4787234,Fruits and Vegetables
NCW29,236,130.431,163,194.7465,69.06779661,Health and Hygiene
FDE04,292,179.766,11,584.2395,3.767123288,Frozen Foods
NCB19,135,85.0882,23,558.2733,17.03703704,Household
FDV15,333,103.9648,117,415.4592,35.13513514,Meat
FDL58,115,264.7568,39,1186.4556,33.91304348,Snack Foods
FDA08,219,164.1526,58,781.14985,26.48401826,Fruits and Vegetables
FDT43,94,50.1324,21,116.8479,22.34042553,Fruits and Vegetables
NCX06,111,182.5976,99,1267.6832,89.18918919,Household
FDT20,490,37.6164,53,135.1574,10.81632653,Fruits and Vegetables
FDB41,183,48.0718,170,248.17695,92.89617486,Frozen Foods
NCN55,333,238.8538,278,1502.21125,83.48348348,Others
FDE40,77,62.9194,35,526.3149,45.45454545,Dairy
FDX49,157,232.63,57,1339.9225,36.30573248,Canned
NCM53,93,104.628,49,186.424,52.68817204,Health and Hygiene
FDE36,389,161.8868,75,818.934,19.28020566,Baking Goods
FDN57,335,140.2154,243,425.4462,72.53731343,Snack Foods
FDI24,495,177.937,466,1676.1515,94.14141414,Baking Goods
FDI19,380,242.7512,96,1029.9926,25.26315789,Meat
FDF24,177,81.5934,88,81.8934,49.71751412,Baking Goods
FDG52,397,45.7402,214,195.24585,53.90428212,Frozen Foods
DRF36,280,189.3846,263,907.65185,93.92857143,Soft Drinks
FDS45,239,107.3622,57,79.39665,23.84937238,Snack Foods
FDX40,274,39.7164,139,57.9246,50.72992701,Frozen Foods
DRK12,434,32.99,93,33.29,21.42857143,Soft Drinks
DRC27,426,245.1802,285,1412.66115,66.90140845,Dairy
FDL58,332,263.7568,196,659.142,59.03614458,Snack Foods
NCD30,495,96.0726,55,318.08595,11.11111111,Household
NCZ54,170,161.5552,140,81.2276,82.35294118,Household
FDE10,165,130.0626,21,32.79065,12.72727273,Snack Foods
FDR44,282,131.2968,109,65.2484,38.65248227,Fruits and Vegetables
FDP28,308,260.0936,87,65.2484,28.24675325,Frozen Foods
FDX15,408,160.6578,281,922.63235,68.87254902,Meat
FDA39,247,40.2822,92,284.79595,37.24696356,Meat
FDY24,460,52.9298,171,498.85065,37.17391304,Baking Goods
FDC60,186,88.3514,53,354.2056,28.49462366,Baking Goods
FDH28,367,37.2506,247,66.41355,67.30245232,Frozen Foods
FDT25,214,121.7072,143,888.1772,66.82242991,Canned
DRJ13,274,161.5578,201,601.71675,73.35766423,Soft Drinks
NCO07,356,211.956,287,53.264,80.61797753,Others
FDW20,283,124.173,27,739.038,9.540636042,Fruits and Vegetables
DRF27,221,152.134,21,38.2835,9.502262443,Dairy
FDS49,201,79.7644,189,412.4631,94.02985075,Canned
FDX25,364,181.9292,132,775.3241,36.26373626,Canned
NCX42,423,165.6526,255,1192.28135,60.28368794,Household
FDG33,209,170.4764,126,858.882,60.28708134,Seafood
FDL56,145,86.4198,60,283.46435,41.37931034,Fruits and Vegetables
FDF14,282,152.334,80,650.8195,28.36879433,Canned
NCD06,229,45.406,57,151.4695,24.89082969,Household
DRM47,162,192.8846,28,573.2538,17.28395062,Hard Drinks
FDS46,367,118.7782,271,29.79455,73.84196185,Snack Foods
FDB35,491,92.9804,93,482.3721,18.94093686,Starchy Foods
FDX21,101,109.8912,36,518.6582,35.64356436,Snack Foods
NCU05,317,79.9618,62,60.42135,19.55835962,Health and Hygiene
NCR38,344,251.3724,116,1698.7887,33.72093023,Household
NCR18,435,42.7112,366,159.792,84.13793103,Household
NCU41,436,192.1846,313,812.10955,71.78899083,Health and Hygiene
FDY56,162,227.6062,144,1805.6496,88.88888889,Fruits and Vegetables
DRJ51,150,229.0668,78,806.2838,52,Dairy
FDK21,162,249.0408,20,938.778,12.34567901,Snack Foods
FDY25,489,179.3976,152,860.2136,31.08384458,Canned
FDU44,130,163.4552,73,243.6828,56.15384615,Fruits and Vegetables
FDL43,236,75.367,140,133.99225,59.3220339,Meat
FDF05,162,262.491,131,1314.955,80.86419753,Frozen Foods
DRF15,51,152.034,14,76.567,27.45098039,Dairy
FDL20,179,112.3886,32,444.7544,17.87709497,Fruits and Vegetables
FDV32,269,61.451,190,189.753,70.63197026,Fruits and Vegetables
FDJ34,103,125.9704,46,469.389,44.66019417,Snack Foods
FDG08,392,171.8764,18,944.7702,4.591836735,Fruits and Vegetables
FDQ04,273,41.5796,102,10.3199,37.36263736,Frozen Foods
FDW13,274,51.1324,26,64.9155,9.489051095,Canned
NCI17,434,96.341,163,48.2705,37.55760369,Health and Hygiene
FDY03,452,110.9202,414,421.95075,91.59292035,Meat
FDS12,175,127.5362,81,1163.98485,46.28571429,Baking Goods
FDJ55,179,225.9404,158,1237.7222,88.26815642,Meat
DRK01,102,95.4436,20,354.5385,19.60784314,Soft Drinks
FDG28,221,246.4144,175,306.268,79.18552036,Frozen Foods
FDY38,267,231.03,115,1339.9225,43.07116105,Dairy
FDN01,209,176.237,134,441.0925,64.11483254,Breakfast
NCR54,247,195.211,44,638.33575,17.81376518,Household
FDG29,465,43.3454,128,251.6724,27.52688172,Frozen Foods
FDG24,296,85.225,23,270.48125,7.77027027,Baking Goods
FDG59,373,36.7164,23,77.2328,6.166219839,Starchy Foods
FDM28,488,178.666,275,629.181,56.35245902,Frozen Foods
FDW04,252,128.831,149,357.03525,59.12698413,Frozen Foods
FDS26,233,260.1594,47,523.3188,20.17167382,Dairy
FDQ56,172,85.6908,117,482.3721,68.02325581,Fruits and Vegetables
FDK51,450,264.0884,128,1457.4362,28.44444444,Dairy
FDL22,304,91.4488,247,520.6556,81.25,Snack Foods
FDH19,343,173.1738,43,1824.6249,12.53644315,Meat
FDY55,329,256.4988,178,1863.2413,54.10334347,Fruits and Vegetables
FDY03,374,110.5202,19,112.5202,5.080213904,Meat
FDK21,421,250.4408,131,125.1704,31.11638955,Snack Foods
FDZ10,147,126.202,124,917.1395,84.3537415,Snack Foods
FDZ32,247,103.1964,10,184.0937,4.048582996,Fruits and Vegetables
NCZ18,444,253.0698,277,1522.0188,62.38738739,Household
NCF07,289,101.0016,13,531.3084,4.498269896,Household
DRE49,193,153.0024,179,569.259,92.74611399,Soft Drinks
FDJ08,146,190.3846,107,143.31345,73.28767123,Fruits and Vegetables
FDT39,250,151.1366,115,566.76225,46,Meat
FDE08,173,147.3734,94,74.2367,54.33526012,Fruits and Vegetables
NCD06,236,46.306,223,139.818,94.49152542,Household
FDB57,375,222.1772,130,1389.8575,34.66666667,Fruits and Vegetables
NCT54,398,95.5094,141,309.43055,35.42713568,Household
DRF49,308,113.5518,206,142.31475,66.88311688,Soft Drinks
FDM25,197,174.0712,28,966.7416,14.21319797,Breakfast
FDF20,301,198.4768,139,344.8844,46.17940199,Fruits and Vegetables
FDH27,492,142.7128,21,467.3916,4.268292683,Dairy
FDV60,469,196.211,90,1374.877,19.18976546,Baking Goods
FDY59,452,94.3462,339,231.3655,75,Baking Goods
FDK36,395,47.9034,363,145.8102,91.89873418,Baking Goods
NCM31,196,141.4154,15,354.5385,7.653061224,Others
FDE33,197,80.2644,145,235.6932,73.60406091,Fruits and Vegetables
FDU36,401,99.3384,134,591.2304,33.41645885,Baking Goods
FDV13,248,87.9856,60,812.9418,24.19354839,Canned
FDV20,357,125.2678,276,63.5839,77.31092437,Fruits and Vegetables
NCQ54,466,167.0474,456,1473.91475,97.85407725,Household
FDO23,473,93.7436,450,283.6308,95.13742072,Breads
DRE60,177,224.972,136,1924.162,76.83615819,Soft Drinks
DRP47,88,250.5382,21,693.93005,23.86363636,Hard Drinks
FDB21,387,241.2854,338,1329.2697,87.33850129,Fruits and Vegetables
FDR04,409,98.0068,11,218.7153,2.689486553,Frozen Foods
FDX23,178,92.6436,17,259.9949,9.550561798,Baking Goods
FDX19,316,235.0958,259,759.51135,81.96202532,Fruits and Vegetables
FDD40,490,193.6162,148,962.081,30.20408163,Dairy
FDA01,483,59.1904,133,131.8284,27.53623188,Canned
FDS33,200,89.1514,62,597.72195,31,Snack Foods
FDM50,464,60.222,237,419.454,51.07758621,Canned
FDB29,347,112.7176,19,200.4058,5.475504323,Frozen Foods
FDF46,148,115.5834,121,316.75435,81.75675676,Snack Foods
FDA33,312,148.0076,17,221.7114,5.448717949,Snack Foods
FDC08,301,228.272,262,113.186,87.04318937,Fruits and Vegetables
FDB53,193,147.5392,23,969.4048,11.91709845,Frozen Foods
FDY31,395,146.6418,249,1103.5635,63.03797468,Fruits and Vegetables
DRQ35,161,122.4388,95,1362.2268,59.00621118,Hard Drinks
FDX36,109,223.9404,30,1237.7222,27.52293578,Baking Goods
DRD13,418,62.6168,245,239.688,58.61244019,Soft Drinks
FDC52,51,149.9708,39,489.0301,76.47058824,Dairy
FDB45,434,103.2306,176,601.05095,40.55299539,Fruits and Vegetables
NCK19,353,194.3478,29,96.8739,8.21529745,Others
FDV51,303,165.0842,225,248.6763,74.25742574,Meat
FDZ35,189,101.299,96,438.59575,50.79365079,Breads
NCW17,86,129.9994,16,835.2461,18.60465116,Health and Hygiene
FDV59,209,216.7166,146,979.7247,69.85645933,Breads
DRH39,58,76.367,10,76.567,17.24137931,Dairy
FDN60,282,158.4604,255,1069.6077,90.42553191,Baking Goods
FDU55,148,260.6278,53,1106.39315,35.81081081,Fruits and Vegetables
FDN58,196,230.9984,95,2316.984,48.46938776,Snack Foods
FDC41,353,76.867,53,57.42525,15.01416431,Frozen Foods
FDO01,257,129.3994,83,513.9976,32.29571984,Breakfast
NCO43,180,101.3016,128,834.9132,71.11111111,Others
FDQ07,453,221.7456,387,1602.5806,85.43046358,Fruits and Vegetables
FDF28,201,122.9046,143,498.0184,71.14427861,Frozen Foods
FDM01,103,104.4332,26,717.7324,25.24271845,Breakfast
FDY49,169,164.5184,60,701.7532,35.50295858,Canned
FDR24,210,88.183,47,134.8245,22.38095238,Baking Goods
NCY18,457,174.3054,417,1094.40875,91.24726477,Household
NCY30,165,180.9976,60,679.116,36.36363636,Household
FDJ22,124,190.9504,19,95.8752,15.32258065,Snack Foods
DRI37,162,59.5904,129,175.7712,79.62962963,Soft Drinks
FDL27,469,66.3826,209,484.3695,44.56289979,Meat
NCO30,471,182.2608,414,826.9236,87.89808917,Household
NCB07,153,197.611,79,785.644,51.63398693,Household
FDX25,389,181.2292,350,638.5022,89.97429306,Canned
FDP59,303,104.0648,66,467.3916,21.78217822,Breads
FDR59,276,260.4594,48,1373.71185,17.39130435,Breads
FDT27,161,233.1616,42,1523.3504,26.08695652,Meat
DRI01,148,174.0422,27,646.65825,18.24324324,Soft Drinks
FDU09,202,55.2956,193,313.9247,95.54455446,Snack Foods
FDH26,398,141.7496,229,1023.3346,57.53768844,Canned
FDH27,451,142.2128,322,790.9704,71.39689579,Dairy
FDN39,433,166.0816,253,1258.362,58.4295612,Meat
FDH40,415,79.9276,361,284.2966,86.98795181,Frozen Foods
FDJ56,387,98.77,313,674.1225,80.87855297,Fruits and Vegetables
DRN47,243,178.566,51,224.7075,20.98765432,Hard Drinks
NCO17,359,118.244,292,689.103,81.33704735,Health and Hygiene
FDX60,212,81.896,83,219.714,39.1509434,Baking Goods
FDT22,257,58.222,119,164.7855,46.30350195,Snack Foods
FDX26,494,182.6292,189,45.6073,38.25910931,Dairy
FDG45,218,211.4902,179,902.65835,82.11009174,Fruits and Vegetables
FDD44,210,256.4646,41,1288.323,19.52380952,Fruits and Vegetables
FDS15,117,108.7596,115,647.1576,98.29059829,Meat
FDL51,338,212.5876,291,321.5814,86.09467456,Dairy
FDL32,447,110.1544,34,307.5996,7.606263982,Fruits and Vegetables
FDZ07,326,60.2194,288,433.4358,88.34355828,Fruits and Vegetables
NCW53,353,193.8162,235,96.2081,66.57223796,Health and Hygiene
NCA54,453,180.0318,66,992.3749,14.56953642,Household
FDX09,433,176.437,189,1940.807,43.64896074,Snack Foods
FDO51,441,41.2112,241,202.4032,54.64852608,Meat
FDW49,184,178.6002,135,313.42535,73.36956522,Canned
FDB27,244,195.2768,96,1428.8068,39.3442623,Dairy
FDF45,450,57.7904,296,366.19,65.77777778,Fruits and Vegetables
FDV02,177,169.8106,73,812.77535,41.24293785,Dairy
FDY28,82,214.3218,80,1068.609,97.56097561,Frozen Foods
FDX31,225,231.7958,42,1343.75085,18.66666667,Fruits and Vegetables
FDR43,492,38.019,222,329.571,45.12195122,Fruits and Vegetables
FDP51,420,119.4124,267,562.9339,63.57142857,Meat
FDL52,424,37.4506,27,294.11715,6.367924528,Frozen Foods
FDR44,71,130.4968,56,880.8534,78.87323944,Fruits and Vegetables
FDB34,287,86.2198,238,152.63465,82.92682927,Snack Foods
FDC50,207,96.4094,93,309.43055,44.92753623,Canned
FDT57,87,235.1248,44,118.5124,50.57471264,Snack Foods
FDP22,279,52.6666,255,179.4331,91.39784946,Snack Foods
DRE49,414,150.5024,411,645.1602,99.27536232,Soft Drinks
FDM40,100,143.2154,97,638.1693,97,Frozen Foods
FDY32,487,164.021,81,978.726,16.63244353,Fruits and Vegetables
FDW07,313,88.5514,39,199.24065,12.4600639,Fruits and Vegetables
FDU02,332,228.9352,181,229.0352,54.51807229,Dairy
NCF18,76,191.3504,62,814.9392,81.57894737,Household
FDQ56,275,84.8908,186,419.454,67.63636364,Fruits and Vegetables
FDN58,326,230.0984,148,926.7936,45.39877301,Snack Foods
FDG35,335,173.5738,203,738.53865,60.59701493,Starchy Foods
FDY34,146,166.4842,22,663.1368,15.06849315,Snack Foods
NCE19,333,52.7956,305,259.3291,91.59159159,Household
NCK31,416,50.9666,98,179.4331,23.55769231,Others
NCJ29,497,86.1224,333,106.528,67.00201207,Health and Hygiene
FDT59,366,231.1668,51,1727.751,13.93442623,Breads
NCX41,353,211.0244,219,952.7598,62.03966006,Health and Hygiene
FDU45,196,115.3518,103,569.259,52.55102041,Snack Foods
FDW24,53,48.9034,28,12.15085,52.83018868,Baking Goods
FDF22,84,212.8218,67,1442.62215,79.76190476,Snack Foods
FDM60,241,40.2138,32,172.60865,13.2780083,Baking Goods
FDR02,98,110.2886,63,472.55155,64.28571429,Dairy
DRP35,66,126.2336,25,798.96,37.87878788,Hard Drinks
FDS48,221,150.1708,74,376.177,33.4841629,Baking Goods
NCZ42,269,238.3248,149,177.7686,55.39033457,Household
FDZ38,207,174.2422,33,1077.76375,15.94202899,Dairy
FDH19,95,175.4738,43,130.33035,45.26315789,Meat
NCB55,422,59.4562,318,207.3967,75.35545024,Household
FDC15,55,155.5288,17,392.822,30.90909091,Dairy
FDF11,148,239.6538,27,600.8845,18.24324324,Starchy Foods
FDW35,429,41.6454,66,20.9727,15.38461538,Breads
FDB44,282,211.0586,121,211.0586,42.90780142,Fruits and Vegetables
NCC06,86,127.3336,14,735.0432,16.27906977,Household
FDR04,329,98.0068,191,72.9051,58.05471125,Frozen Foods
FDB17,398,181.2976,22,814.9392,5.527638191,Frozen Foods
FDW43,351,226.8036,348,853.8885,99.14529915,Fruits and Vegetables
FDA27,230,256.7672,38,1406.1696,16.52173913,Dairy
NCU41,144,190.1846,12,1671.99025,8.333333333,Health and Hygiene
FDY56,148,227.1062,99,1410.66375,66.89189189,Fruits and Vegetables
FDV39,237,196.2426,113,1235.89125,47.67932489,Meat
FDN32,165,182.6266,132,783.81305,80,Fruits and Vegetables
FDW07,240,87.4514,195,199.24065,81.25,Fruits and Vegetables
FDZ27,302,51.535,259,212.22375,85.7615894,Dairy
FDW23,465,37.3164,264,9.6541,56.77419355,Baking Goods
FDU01,210,184.5924,85,1249.3737,40.47619048,Canned
FDF10,305,149.1418,117,147.1418,38.36065574,Snack Foods
DRH03,372,91.812,165,93.212,44.35483871,Dairy
FDW27,177,155.7314,91,38.78285,51.41242938,Meat
DRI13,67,218.0508,22,759.6778,32.8358209,Soft Drinks
NCR05,330,200.2084,267,396.8168,80.90909091,Health and Hygiene
FDB29,272,115.4176,136,171.7764,50,Frozen Foods
FDL51,103,213.4876,16,482.3721,15.53398058,Dairy
FDB11,107,223.8404,35,900.1616,32.71028037,Starchy Foods
FDI35,372,180.7634,97,545.2902,26.07526882,Starchy Foods
